phage,host,species
MG593801,NZ_CP009976.1,Flavobacteriales;
MG593800,NZ_CP007203.1,Aphanizomenonaceae;
NC_028762,NZ_ATTH01000001,Order
NC_028760,NC_015601.1,Erysipelotrichales;
NC_011976,NC_006085.1,Propionibacteriaceae;
JN006061,CP034433,Neisseriales;
JN006062,CP034433,Neisseriales;
JN006063,NZ_CP016990.1,Aeromonadales;
JN006064,NZ_FNSA01000003,Tsukamurellaceae;
MH171095,NC_010163.1,Acholeplasmatales;
NC_031007,NC_011071.1,Xanthomonadales;
NC_004616,NZ_LT629758,Micromonosporaceae;
NC_031002,NZ_CP047242.1,Nostocaceae;
NC_031009,CP023315,Caulobacterales;
NC_031008,NZ_LN831027.1,Fusobacteriaceae;
NC_003438,NC_005042.1,Prochloraceae;
NC_022070,NZ_LR215047.1,Mycoplasmataceae;
NC_022071,HG530068,Pseudomonadales;
MF185724,NZ_CP009976.1,Flavobacteriales;
NC_014595,NZ_FODB01000122.1,Oceanospirillales;
NC_004617,NC_012490.1,Nocardiaceae;
KX620750,NVUC01000001,Rhodobacterales;
KX620753,NZ_CP007203.1,Aphanizomenonaceae;
KY204249,NC_010163.1,Acholeplasmatales;
MF140397,NZ_CP027407.1,Rhodobacterales;
NC_000872,NZ_CP008781.1,Burkholderiales;
NC_013648,NC_008095.1,Myxococcales;
NC_023606,NC_017287.1,Chlamydiaceae;
JN243856,NZ_NUFU01000011.1,Bacillales;
KX620754,NC_010163.1,Acholeplasmatales;
KY204244,CP001751,SAR116
NC_018831,CP003184,Thermoanaerobacterales;
KX648373,NC_017379.1,Campylobacterales;
NC_013646,NZ_AEUD01000047.1,Gordoniaceae;
MF919512,NZ_CP021654.1,Aeromonadales;
JF937090,NC_006461.1,Thermales;
NC_013644,NZ_CP035765.1,Sphingomonadales;
NC_023602,NZ_LN831027.1,Fusobacteriaceae;
NC_013643,CP024902,Burkholderiales;
MF919511,NC_010163.1,Acholeplasmatales;
NC_013420,CP003184,Thermoanaerobacterales;
NC_004584,CP001751,SAR116
NC_004585,NC_008095.1,Myxococcales;
NC_004586,NZ_CP013197.1,Entomoplasmatales;
NC_004587,LR134359,Campylobacterales;
NC_004588,NZ_BEWM01000001.1,Rhodospirillales;
KU998256,NVUC01000001,Rhodobacterales;
KU998255,NC_006085.1,Propionibacteriaceae;
NC_026603,NZ_UFTQ01000003.1,Brevibacteriaceae;
NC_001335,NZ_ATTH01000001,Order
NC_026607,NZ_QKZO01000001.1,Rhodobacterales;
NC_026606,NZ_LN831039.1,Mycobacteriaceae;
NC_026605,NC_004557.1,Clostridiales;
NC_026604,NZ_CP021654.1,Aeromonadales;
NC_023608,NZ_CP013197.1,Entomoplasmatales;
NC_026609,NVUC01000001,Rhodobacterales;
NC_026608,NZ_FODB01000122.1,Oceanospirillales;
NC_005340,NZ_LT629758,Micromonosporaceae;
MH513975,NZ_CP007203.1,Aphanizomenonaceae;
MH513976,NZ_CP013197.1,Entomoplasmatales;
MH513977,NZ_AP014524.1,Vibrionales;
MH513971,NC_017379.1,Campylobacterales;
MH513972,NZ_HF571038.1,Intrasporangiaceae;
MH513973,NC_011071.1,Xanthomonadales;
NC_009603,CP001751,SAR116
MH513978,NZ_JYBE02000001.1,Streptomycetaceae;
NC_028908,NZ_ABJL02000008.1,Bacteroidales;
NC_009875,NZ_CP009976.1,Flavobacteriales;
NC_024375,NC_012490.1,Nocardiaceae;
NC_019548,CP023315,Caulobacterales;
KY223999,NC_006461.1,Thermales;
NC_019543,NZ_CM002803,Oscillatoriales;
NC_019540,NZ_JNIU01000001,Pelagibacterales;
JQ896627,NZ_CP053931.1,Bacillales;
KT375356,NZ_ABJL02000008.1,Bacteroidales;
NC_019545,NZ_CP035765.1,Sphingomonadales;
KY549152,NC_008095.1,Myxococcales;
KU865303,NZ_CP016990.1,Aeromonadales;
NC_022061,NZ_RQHA01000004.1,Leptospiraceae;
NC_021773,NZ_BEWM01000001.1,Rhodospirillales;
KY549155,NZ_PKRZ01000001.1,Lactobacillales;
KX702320,NZ_CP053931.1,Bacillales;
NC_019490,NZ_CP019870.1,Clostridiales;
NC_019496,NZ_JMSZ01000016,Oceanospirillales;
NC_027358,NC_007618.1,Rhizobiales;
NC_028832,CP019892,Microbacteriaceae;
NC_028830,NZ_ABJL02000008.1,Bacteroidales;
NC_028837,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_028834,NZ_JNIU01000001,Pelagibacterales;
NC_028835,NZ_LOQW01000006.1,Corynebacteriaceae;
MK460246,NZ_LN831027.1,Fusobacteriaceae;
MK460247,NZ_CP035765.1,Sphingomonadales;
MH271319,NC_021883.1,Pasteurellales;
KU935731,LR134359,Campylobacterales;
KU935730,CP003184,Thermoanaerobacterales;
MH271311,LC361338,Micrococcaceae;
MH271310,NZ_LN831027.1,Fusobacteriaceae;
MH271312,NC_005363.1,Bdellovibrionales;
MH271315,NZ_CP021140.1,Eggerthellales;
MH271314,NZ_CP050956.1,Bacteroidales;
MH271316,NZ_AP014524.1,Vibrionales;
NC_028880,NZ_ORZE01000263.1,Xanthomonadales;
JN412590,CP012196,Campylobacterales;
MK433259,NZ_AP014524.1,Vibrionales;
NC_021348,NC_006461.1,Thermales;
MF377442,NVUC01000001,Rhodobacterales;
MF377440,NZ_CP007810.1,Xanthomonadales;
MF377441,NZ_AP018203.1,Leptolyngbyaceae;
KM923970,NZ_CP047242.1,Nostocaceae;
NC_011038,NC_005363.1,Bdellovibrionales;
NC_011039,LR134359,Campylobacterales;
KM236502,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_007917,NZ_CP009976.1,Flavobacteriales;
MK016504,NC_005363.1,Bdellovibrionales;
MK016502,NZ_JMSZ01000016,Oceanospirillales;
MK016503,SDYW01000001,Bacteria
MK016500,NZ_AP018203.1,Leptolyngbyaceae;
MK016501,NZ_JNIU01000001,Pelagibacterales;
MH651186,NC_015276.1,Oceanospirillales;
MF140428,LC361338,Micrococcaceae;
MH651184,NZ_CP035765.1,Sphingomonadales;
MH651183,NC_006085.1,Propionibacteriaceae;
MH651180,NZ_QGLK01000001.1,Bifidobacteriaceae;
MH651181,NZ_RPMX01000001.1,Rhizobiales;
KY083063,NZ_JNIU01000001,Pelagibacterales;
MH651188,NC_015601.1,Erysipelotrichales;
NC_005131,NZ_CP007203.1,Aphanizomenonaceae;
KY083061,NZ_CM002803,Oscillatoriales;
MG872841,NZ_ABJL02000008.1,Bacteroidales;
MG872840,CP000388,Alteromonadales;
MG872843,NC_014159.1,Tsukamurellaceae;
MG872842,NZ_CP022580.1,Gordoniaceae;
NC_004814,NZ_CP021140.1,Eggerthellales;
MH450118,SDYW01000001,Bacteria
MH450119,NZ_LT629758,Micromonosporaceae;
MH450116,NC_012490.1,Nocardiaceae;
MH450117,NZ_MRCG01000001.1,Oscillatoriales;
MH450113,NZ_LT629739,Brevibacteriaceae;
NC_024380,NZ_CP007203.1,Aphanizomenonaceae;
NC_007605,CP023315,Caulobacterales;
NC_031080,NZ_QLMF01000001.1,Rhizobiales;
KX670788,LC361338,Micrococcaceae;
KX670787,NZ_AP018203.1,Leptolyngbyaceae;
KX670786,NC_014159.1,Tsukamurellaceae;
NC_031238,NZ_JYBE02000001.1,Streptomycetaceae;
NC_024383,NC_015601.1,Erysipelotrichales;
NC_024384,NZ_CP009016.1,Xanthomonadales;
KT359365,NZ_BEWM01000001.1,Rhodospirillales;
NC_024385,NC_011071.1,Xanthomonadales;
KT347313,NZ_CP009764.1,Burkholderiales;
NC_024386,NZ_CP011028.1,Alteromonadales;
NC_031279,NZ_UFTQ01000001,Brevibacteriaceae;
MG839030,NZ_LN831039.1,Mycobacteriaceae;
MF140427,NZ_CP016990.1,Aeromonadales;
NC_031271,NZ_LR215047.1,Mycoplasmataceae;
JN561150,NC_003228.3,Bacteroidales;
NC_023735,NZ_CP031781.1,Vibrionales;
NC_023737,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_007048,NZ_CP035765.1,Sphingomonadales;
NC_023731,NC_010163.1,Acholeplasmatales;
NC_023732,NZ_CP016990.1,Aeromonadales;
NC_023733,NZ_UFTQ01000003.1,Brevibacteriaceae;
NC_025453,NZ_CP010341.1,Propionibacteriaceae;
NC_015266,NZ_CP058243.1,Xanthomonadales;
NC_015265,NZ_LR131273.1,Tsukamurellaceae;
NC_015264,NZ_VISK01000013.1,Rhodospirillales;
NC_023738,CP034433,Neisseriales;
NC_023739,CP023315,Caulobacterales;
MF155936,NZ_CP007203.1,Aphanizomenonaceae;
MF324909,NZ_JNIU01000001,Pelagibacterales;
MF324908,NZ_LT629758,Micromonosporaceae;
MF324907,LR134359,Campylobacterales;
MF324906,NC_006085.1,Propionibacteriaceae;
MF324905,NVUC01000001,Rhodobacterales;
MF324904,CP023315,Caulobacterales;
MF324903,SDYW01000001,Bacteria
MF324902,NZ_SPGG01000010.1,Bacteroidales;
MF324901,NZ_CP007203.1,Aphanizomenonaceae;
MF324900,NVTK01000009,Alteromonadales;
NC_002649,NZ_CP007203.1,Aphanizomenonaceae;
JX262376,NZ_CP023464.1,Alteromonadales;
NC_001998,NC_006461.1,Thermales;
NC_023594,NC_017287.1,Chlamydiaceae;
NC_023595,NC_017379.1,Campylobacterales;
NC_023597,NZ_HF571038.1,Intrasporangiaceae;
NC_031907,NZ_CP009016.1,Xanthomonadales;
NC_031901,NZ_AP018203.1,Leptolyngbyaceae;
NC_031902,NC_010163.1,Acholeplasmatales;
KT326767,SDYW01000001,Bacteria
NC_031908,NC_015276.1,Oceanospirillales;
NC_031909,NC_006461.1,Thermales;
JX649098,NC_005363.1,Bdellovibrionales;
NC_024208,NZ_VDDD01000101.1,Rhodobacterales;
KT285706,NC_010163.1,Acholeplasmatales;
JN083852,LR134359,Campylobacterales;
JN083853,NC_009952.1,Rhodobacterales;
NC_028751,NZ_LT629739,Brevibacteriaceae;
NC_028750,SDYW01000001,Bacteria
NC_028757,NC_010163.1,Acholeplasmatales;
NC_028754,NZ_CP021654.1,Aeromonadales;
NC_028759,NZ_AP018203.1,Leptolyngbyaceae;
NC_028758,NC_005363.1,Bdellovibrionales;
NC_004615,NZ_HF571038.1,Intrasporangiaceae;
NC_031017,NZ_AP014524.1,Vibrionales;
NC_031013,CP023315,Caulobacterales;
NC_031010,CP023315,Caulobacterales;
NC_031011,LC361338,Micrococcaceae;
NC_008721,NZ_CP016990.1,Aeromonadales;
MH399780,NZ_CP023558.1,Alteromonadales;
NC_024203,LC361338,Micrococcaceae;
NC_031018,CP003184,Thermoanaerobacterales;
NC_031019,NZ_CP035765.1,Sphingomonadales;
NC_022085,NC_010163.1,Acholeplasmatales;
NC_022087,NZ_FNSA01000003,Tsukamurellaceae;
NC_022086,NZ_CP041040.1,Microbacteriaceae;
NC_024204,NZ_LN831027.1,Fusobacteriaceae;
JX649096,CP023315,Caulobacterales;
KT388014,NC_008261.1,Clostridiales;
NC_031044,LR134359,Campylobacterales;
JN185608,CP023315,Caulobacterales;
NC_012784,NZ_LR131273.1,Tsukamurellaceae;
NC_027335,NC_006461.1,Thermales;
NC_012788,NZ_MDBB01000001.1,Vibrionales;
NC_028856,NZ_AP018203.1,Leptolyngbyaceae;
NC_005282,NZ_LN831039.1,Mycobacteriaceae;
NC_005284,CP004353,Corynebacteriaceae;
KY006473,NC_017287.1,Chlamydiaceae;
NC_028851,CP023315,Caulobacterales;
KX507361,CP034433,Neisseriales;
NC_020879,NZ_CP011007.1,Bacillales;
NC_011589,NC_008095.1,Myxococcales;
NC_004777,NZ_CP041040.1,Microbacteriaceae;
NC_026612,NZ_JMSZ01000016,Oceanospirillales;
NC_026613,NC_009438.1,Alteromonadales;
NC_005356,NC_015601.1,Erysipelotrichales;
NC_005357,NZ_HF571038.1,Intrasporangiaceae;
NC_028930,NZ_CP027793.1,Nocardiaceae;
NC_028937,NZ_JNIU01000001,Pelagibacterales;
NC_028936,NZ_HF571038.1,Intrasporangiaceae;
NC_028934,NC_003228.3,Bacteroidales;
NC_021062,NC_006461.1,Thermales;
NC_006557,NZ_CP007203.1,Aphanizomenonaceae;
MH371121,NC_002771.1,Mycoplasmataceae;
MH371120,NZ_CP022580.1,Gordoniaceae;
MH371123,NC_021883.1,Pasteurellales;
MH371122,NZ_CP032788.1,Corynebacteriaceae;
MH371125,NZ_CP019870.1,Clostridiales;
MH371124,NZ_CP030777.1,Clostridiales;
KR997968,CP032788,Corynebacteriaceae;
KR997967,NZ_CP046058.1,Chroococcales;
NC_009814,NZ_LT629758,Micromonosporaceae;
NC_009817,NC_011071.1,Xanthomonadales;
NC_009811,NZ_CP047242.1,Nostocaceae;
NC_009810,NZ_CP015121.1,Pseudomonadales;
NC_009813,NZ_CP021140.1,Eggerthellales;
NC_009812,NZ_RQHA01000004.1,Leptospiraceae;
MH051261,NZ_CP035765.1,Sphingomonadales;
MH051260,NZ_JNIU01000001,Pelagibacterales;
MH051265,NZ_CP027407.1,Rhodobacterales;
MH051264,NZ_CP023558.1,Alteromonadales;
MH051266,NZ_FRBZ01000017.1,Enterobacterales;
NC_010147,NZ_AMGI01000001.1,Entomoplasmatales;
KX702319,NZ_CM002803,Oscillatoriales;
MH590588,NC_002771.1,Mycoplasmataceae;
NC_027365,SDYW01000001,Bacteria
NC_028804,NZ_CP013197.1,Entomoplasmatales;
NC_027363,NZ_VISK01000013.1,Rhodospirillales;
NC_028802,NZ_LT629758,Micromonosporaceae;
NC_028801,NC_008095.1,Myxococcales;
NC_027360,CP004353,Corynebacteriaceae;
MK524496,NZ_LR215047.1,Mycoplasmataceae;
MK524497,NC_015601.1,Erysipelotrichales;
MK524494,NZ_JNIU01000001,Pelagibacterales;
MK524495,NZ_PKKP01000001.1,Actinomycetaceae;
MK524492,NC_015276.1,Oceanospirillales;
MK524493,NZ_CP007203.1,Aphanizomenonaceae;
KM881426,NC_007677.1,Order
MK524498,NC_006085.1,Propionibacteriaceae;
MK524499,NZ_RQHA01000004.1,Leptospiraceae;
KU613353,NZ_JXYE01000002,Rhodobacterales;
MH910042,CP023315,Caulobacterales;
NC_011142,NC_017287.1,Chlamydiaceae;
NC_019417,NZ_LT629758,Micromonosporaceae;
NC_021347,NZ_CP007203.1,Aphanizomenonaceae;
NC_021346,NZ_LT629758,Micromonosporaceae;
NC_021343,NZ_CP027107.1,Enterobacterales;
NC_021342,CP001751,SAR116
MK433266,NC_021505.1,Pseudomonadales;
MK433262,NC_005042.1,Prochloraceae;
NC_021349,NZ_CP016990.1,Aeromonadales;
MG944216,NC_005042.1,Prochloraceae;
KT588442,NZ_LT629739,Brevibacteriaceae;
NC_021063,NZ_CP019870.1,Clostridiales;
MH153801,NC_015601.1,Erysipelotrichales;
NC_001706,NZ_CP009610.1,Pasteurellales;
NC_031940,CP001397,Flavobacteriales;
NC_031941,NZ_MDBB01000001.1,Vibrionales;
NC_031942,NVTK01000009,Alteromonadales;
NC_002072,NZ_PKKP01000001.1,Actinomycetaceae;
NC_003291,NZ_BEWM01000001.1,Rhodospirillales;
MH632120,NZ_CP019870.1,Clostridiales;
NC_020839,NZ_HF571038.1,Intrasporangiaceae;
NC_031946,NC_013929.1,Streptomycetaceae;
KU160638,NZ_CP023560,Bacillales;
KU160639,NZ_PKRZ01000001.1,Lactobacillales;
MK016499,NZ_CH724157.1,Rhodobacterales;
KX640831,NZ_ORZE01000263.1,Xanthomonadales;
MG872838,NC_003228.3,Bacteroidales;
MG872839,NZ_CP021140.1,Eggerthellales;
MG872835,NZ_CP010341.1,Propionibacteriaceae;
MG872836,NZ_CP046058.1,Chroococcales;
MG872837,NZ_RPMX01000001.1,Rhizobiales;
MG872831,NC_010163.1,Acholeplasmatales;
MG872832,CP000031,Rhodobacterales;
MG872833,NC_010163.1,Acholeplasmatales;
MF919541,NZ_CP011028.1,Alteromonadales;
MF919540,NZ_MRCG01000001.1,Oscillatoriales;
KY087993,LC361338,Micrococcaceae;
KY087992,NC_002771.1,Mycoplasmataceae;
KJ595575,CP001751,SAR116
MG099936,NZ_CP007203.1,Aphanizomenonaceae;
MG099937,NZ_CP047242.1,Nostocaceae;
MG099934,LC361338,Micrococcaceae;
MG099938,NZ_LN831027.1,Fusobacteriaceae;
NC_022056,NZ_CP015137.1,Enterobacterales;
NC_007145,NZ_VISK01000013.1,Rhodospirillales;
NC_023699,NZ_CP008781.1,Burkholderiales;
NC_023698,NZ_VISK01000013.1,Rhodospirillales;
NC_023692,CP001751,SAR116
NC_023691,NZ_CM000747.1,Bacillales;
KM652554,NZ_CP046058.1,Chroococcales;
NC_023697,NZ_SGOE01000001.1,Rhizobiales;
NC_023696,CP023315,Caulobacterales;
NC_023695,NZ_AP014524.1,Vibrionales;
NC_023694,NC_017287.1,Chlamydiaceae;
NC_031243,NZ_CP029197.1,Streptomycetaceae;
NC_031241,CP034433,Neisseriales;
NC_021317,NZ_AP018203.1,Leptolyngbyaceae;
NC_031246,LC361338,Micrococcaceae;
KY464936,CP003184,Thermoanaerobacterales;
NC_015270,NC_018681.1,Nocardiaceae;
NC_015271,CP034433,Neisseriales;
NC_024135,NZ_HF571038.1,Intrasporangiaceae;
NC_015273,NZ_CP021140.1,Eggerthellales;
NC_015274,NZ_KN046823,Rhizobiales;
NC_025444,NZ_PKKP01000001.1,Actinomycetaceae;
MH651190,NZ_MRCG01000001.1,Oscillatoriales;
NC_022054,NC_007618.1,Rhizobiales;
KX523125,NZ_CP009764.1,Burkholderiales;
NC_025440,NZ_HF571038.1,Intrasporangiaceae;
NC_025442,NC_017379.1,Campylobacterales;
NC_024138,NZ_LOQW01000006.1,Corynebacteriaceae;
KU647627,NC_004556.1,Xanthomonadales;
KU647626,NZ_BEWM01000001.1,Rhodospirillales;
NC_028658,NZ_FRBZ01000017.1,Enterobacterales;
KU647629,NC_004556.1,Xanthomonadales;
KU647628,NZ_SGOE01000001.1,Rhizobiales;
MF319184,NZ_LR215047.1,Mycoplasmataceae;
NC_022055,NZ_AP018203.1,Leptolyngbyaceae;
KY385381,NZ_HF571038.1,Intrasporangiaceae;
KY385380,NC_017379.1,Campylobacterales;
KY385383,NZ_CM002803,Oscillatoriales;
KY385382,NZ_MUTR01000001.1,Burkholderiales;
KY385384,NC_014159.1,Tsukamurellaceae;
NC_002656,NZ_CP022580.1,Gordoniaceae;
NC_028247,NZ_RQHA01000004.1,Leptospiraceae;
NC_022052,NZ_QGLK01000001.1,Bifidobacteriaceae;
MH230877,NZ_CP007203.1,Aphanizomenonaceae;
NC_029033,NZ_PKRZ01000001.1,Lactobacillales;
NC_016654,NZ_PKRZ01000001.1,Lactobacillales;
NC_016653,NZ_MDFG01000001.1,Streptomycetaceae;
NC_016652,NZ_CP022580.1,Gordoniaceae;
NC_016651,NZ_CP021654.1,Aeromonadales;
NC_016650,NZ_CP010341.1,Propionibacteriaceae;
NC_023690,NZ_CP045235.1,Burkholderiales;
NC_007149,NZ_CP047242.1,Nostocaceae;
MK284518,SDYW01000001,Bacteria
MK284519,NC_013501.1,Order
KM597531,NZ_NQCD01000010.1,Enterobacterales;
KM597530,NC_017287.1,Chlamydiaceae;
NC_028742,NC_006085.1,Propionibacteriaceae;
MK279899,NZ_LOQW01000006.1,Corynebacteriaceae;
NC_028749,NZ_CP035765.1,Sphingomonadales;
NC_031023,NZ_FNSA01000003,Tsukamurellaceae;
NC_031022,NC_008390.1,Burkholderiales;
NC_031021,NZ_JNIU01000001,Pelagibacterales;
NC_031020,NZ_CP018296.1,Chlamydiaceae;
NC_031026,NZ_JNIU01000001,Pelagibacterales;
NC_031025,NC_008261.1,Clostridiales;
NC_019521,NZ_LN831027.1,Fusobacteriaceae;
NC_013155,NZ_HF571038.1,Intrasporangiaceae;
NC_019489,NZ_LT629758,Micromonosporaceae;
MH509443,CP030026,Enterobacterales;
MH509442,NZ_FNSA01000003,Tsukamurellaceae;
MH509441,NZ_LN831027.1,Fusobacteriaceae;
NC_019488,NZ_CP007203.1,Aphanizomenonaceae;
MH509447,NC_009952.1,Rhodobacterales;
MH509445,NC_006461.1,Thermales;
MH509444,JTHH01000008,Bacillales;
NC_022090,SDYW01000001,Bacteria
KX712237,NZ_JNIU01000001,Pelagibacterales;
MH744415,NC_009438.1,Alteromonadales;
MH744414,NC_004557.1,Clostridiales;
MH744417,NC_007677.1,Order
MH744416,NZ_SPGG01000010.1,Bacteroidales;
NC_006940,NZ_CP035765.1,Sphingomonadales;
MH744419,NZ_RPMX01000001.1,Rhizobiales;
MH744418,CP001751,SAR116
NC_011551,NC_012490.1,Nocardiaceae;
KX443695,NC_015276.1,Oceanospirillales;
NC_028929,NZ_LT629770,Microbacteriaceae;
KX443696,CP023315,Caulobacterales;
NC_027204,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_028926,NZ_ABJL02000008.1,Bacteroidales;
NC_028920,NZ_CP016990.1,Aeromonadales;
MK359360,NZ_CP031781.1,Vibrionales;
NC_028922,NZ_UFTQ01000003.1,Brevibacteriaceae;
NC_028923,NC_005363.1,Bdellovibrionales;
MK359361,NZ_HF571038.1,Intrasporangiaceae;
JF937108,NZ_CP008880.1,Flavobacteriales;
JF937109,RKIY01000003,Bacillales;
NC_029045,NZ_BMTY00000000.1,Streptomycetaceae;
JF937104,NZ_LT629739,Brevibacteriaceae;
KU935726,NZ_CP016990.1,Aeromonadales;
JF937106,NZ_CP022580.1,Gordoniaceae;
JF937107,NC_013961.1,Enterobacterales;
JF937100,NZ_CP028926.1,Pasteurellales;
JF937101,NZ_SPGG01000010.1,Bacteroidales;
JF937102,NC_008261.1,Clostridiales;
JF937103,CP001751,SAR116
JX411620,NC_011071.1,Xanthomonadales;
KT355471,CP023315,Caulobacterales;
KP790011,NZ_LR131273.1,Tsukamurellaceae;
KR781349,NZ_AMGI01000001.1,Entomoplasmatales;
NC_024136,HG530068,Pseudomonadales;
NC_001447,CP019892,Microbacteriaceae;
NC_028810,NZ_RQHA01000004.1,Leptospiraceae;
NC_027372,NZ_CP047242.1,Nostocaceae;
MH834599,NC_007677.1,Order
NC_027374,NC_005042.1,Prochloraceae;
NC_028815,NZ_HF571038.1,Intrasporangiaceae;
NC_028816,NZ_CP035765.1,Sphingomonadales;
NC_027377,NZ_JNIU01000001,Pelagibacterales;
NC_028819,NZ_CP016990.1,Aeromonadales;
MH834596,NC_011071.1,Xanthomonadales;
MH834597,NZ_LR131273.1,Tsukamurellaceae;
MH834594,NC_010163.1,Acholeplasmatales;
MH834595,NZ_CP027793.1,Nocardiaceae;
NC_020081,LC361338,Micrococcaceae;
KT281789,NC_013501.1,Order
NC_024387,NZ_LN831039.1,Mycobacteriaceae;
NC_020080,NZ_QGLK01000001.1,Bifidobacteriaceae;
MK433273,NC_005042.1,Prochloraceae;
MK433277,NZ_CP021654.1,Aeromonadales;
KJ194581,NZ_RQHA01000004.1,Leptospiraceae;
MK433279,SDYW01000001,Bacteria
NC_025443,NZ_CP021140.1,Eggerthellales;
MH632118,NZ_CP021654.1,Aeromonadales;
MH632119,NZ_CP016990.1,Aeromonadales;
KX621007,NZ_AP014524.1,Vibrionales;
KX621004,NC_021505.1,Pseudomonadales;
KX621005,NZ_VISK01000013.1,Rhodospirillales;
NC_009334,NZ_CP035765.1,Sphingomonadales;
MF773750,NZ_CP041040.1,Microbacteriaceae;
NC_009333,NZ_HF571038.1,Intrasporangiaceae;
NC_021538,HG530068,Pseudomonadales;
NC_021534,NZ_CP047242.1,Nostocaceae;
NC_021535,NZ_CP013187.1,Alteromonadales;
NC_003288,SDYW01000001,Bacteria
NC_021533,NZ_RQHA01000004.1,Leptospiraceae;
MK524489,NC_008261.1,Clostridiales;
MK524488,CP023315,Caulobacterales;
MK524485,NZ_CP016990.1,Aeromonadales;
MK524486,NZ_CP019870.1,Clostridiales;
KX855961,NC_015601.1,Erysipelotrichales;
KX855962,AL645882,Streptomycetaceae;
KT309034,NZ_JYCD01000001.1,Bacillales;
KR063280,NZ_MSEI01000003,Alteromonadales;
KR063281,NZ_RQHA01000004.1,Leptospiraceae;
NC_011308,NZ_CP031055.1,Vibrionales;
NC_004831,NZ_JNIU01000001,Pelagibacterales;
MK061414,NZ_JMSZ01000016,Oceanospirillales;
MK061415,CP023315,Caulobacterales;
MK061412,CP023315,Caulobacterales;
MK061413,NZ_LN831027.1,Fusobacteriaceae;
MK061411,NC_007677.1,Order
KX588251,NZ_CP022580.1,Gordoniaceae;
MH450133,NC_015276.1,Oceanospirillales;
MH450130,CP001751,SAR116
MH450131,NC_015601.1,Erysipelotrichales;
JX042578,NC_006085.1,Propionibacteriaceae;
JX042579,NC_005042.1,Prochloraceae;
JN831654,NC_008261.1,Clostridiales;
NC_015464,NC_017168.1,Enterobacterales;
KM677210,NZ_LT629758,Micromonosporaceae;
NC_010495,NC_010163.1,Acholeplasmatales;
NC_023688,NC_011852.1,Pasteurellales;
NC_023689,NC_005363.1,Bdellovibrionales;
KM101118,NZ_AP018203.1,Leptolyngbyaceae;
KM101119,NVTK01000009,Alteromonadales;
NC_031254,NZ_CP021140.1,Eggerthellales;
NC_031256,CP023315,Caulobacterales;
NC_031257,NC_015601.1,Erysipelotrichales;
NC_031250,NZ_PKKP01000001.1,Actinomycetaceae;
NC_031252,NZ_CP025774.1,Burkholderiales;
NC_031253,CP034433,Neisseriales;
KX611831,NC_007677.1,Order
NC_025829,NZ_UFTQ01000003.1,Brevibacteriaceae;
NC_031258,NC_012490.1,Nocardiaceae;
NC_031094,NZ_LN831027.1,Fusobacteriaceae;
NC_031095,NZ_JH719383.1,Rhizobiales;
NC_031092,NZ_JNIU01000001,Pelagibacterales;
KX641260,CP001751,SAR116
KX641261,CP034433,Neisseriales;
KX641262,NC_007677.1,Order
KX641263,NC_011071.1,Xanthomonadales;
KX641264,NZ_SGOE01000001.1,Rhizobiales;
KX641265,NZ_CP009125.1,Enterobacterales;
KX641266,NC_008390.1,Burkholderiales;
NC_020484,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_020488,NZ_CP047242.1,Nostocaceae;
MH590595,NZ_LT629758,Micromonosporaceae;
NC_028785,NZ_AP019750.1,Lactobacillales;
NC_007049,NZ_CP018296.1,Chlamydiaceae;
NC_028788,NZ_PKKP01000001.1,Actinomycetaceae;
MH045563,NZ_CM000747.1,Bacillales;
MH590594,NZ_CP009976.1,Flavobacteriales;
KY783914,NZ_LT629758,Micromonosporaceae;
KX808129,NZ_BEWM01000001.1,Rhodospirillales;
NC_018861,NC_005042.1,Prochloraceae;
NC_002669,NZ_CP013197.1,Entomoplasmatales;
NC_002668,CP034433,Neisseriales;
NC_002667,NZ_CP027107.1,Enterobacterales;
NC_023865,CP012196,Campylobacterales;
JX015524,NZ_LR215047.1,Mycoplasmataceae;
NC_023862,CP001751,SAR116
NC_023863,NZ_JYBE02000001.1,Streptomycetaceae;
NC_029029,NZ_AP018203.1,Leptolyngbyaceae;
KT361920,NZ_CP019687.1,Bacillales;
NC_029026,NZ_CP021654.1,Aeromonadales;
KX897981,NC_006461.1,Thermales;
NC_019506,NZ_RQHA01000004.1,Leptospiraceae;
NC_030920,NC_021883.1,Pasteurellales;
KM463009,NZ_PKKP01000001.1,Actinomycetaceae;
NC_030925,NZ_CP011028.1,Alteromonadales;
NC_022973,NZ_QGLK01000001.1,Bifidobacteriaceae;
MK310141,CP003184,Thermoanaerobacterales;
MK310140,NZ_CP013197.1,Entomoplasmatales;
MK310143,NC_015601.1,Erysipelotrichales;
MK310142,NC_010163.1,Acholeplasmatales;
MK310145,NC_005363.1,Bdellovibrionales;
MK310144,NZ_LT629758,Micromonosporaceae;
KU728633,NC_008095.1,Myxococcales;
NC_031035,NC_011071.1,Xanthomonadales;
NC_031036,CP019892,Microbacteriaceae;
NC_022791,NZ_ATTH01000001,Order
NC_011023,CP019892,Microbacteriaceae;
NC_017688,CP034433,Neisseriales;
