,phage_name,phage_genbank_id,phage_refseq_id,host_name,host_id,host_category,host_desc
744,Damien,KJ567046,NC_024371,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
745,Dandelion,JN412588,NC_023696,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
746,Danforth,MT310857,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
747,DanielleIgnace,MT889387,,Arthrobacter sp.  68b,NZ_KJ410765.1,3,"Arthrobacter sp. 68b plasmid p2MP, complete sequence"
748,Danno,MT316462,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
749,DannyDe,MW055903,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
750,Dante,KT309034,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
751,Danyall,MH479910,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
752,Danzina,KT124228,,Streptomyces venezuelae ATCC 10712,MK305888.1,96,"Streptomyces phage Austintatious, complete genome"
753,Daob,MH834609,,Arthrobacter globiformis B-2979,AF329477.3,2,"Arthrobacter globiformis strain NRRL B-2979 N,N-dimethylglycine oxidase operon, complete sequence; and hypothetical protein, putative formate dehydrogenase (fdh), putative molibdopterin biosynthesis protein (moeA), putative IclR-family transcriptional regulator (dioR), putative oxygenase (dio), putative ferredoxin reductase (fdr), putative ferredoxin (fdx), putative 10-formyltetrahydrofolate deformylase (purU2), dimethylglycine oxidase (dmg2), hypothetical protein, putative ABC transporter, putative methionine synthase (metH), and putative luciferase-like monooxygenase protein genes, complete cds"
754,Darby,,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
755,Dardanus,MN010758,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
756,Daredevil,MH590603,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
757,Darionha,MK524493,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
758,Darko,MK359361,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
759,Darolandstone,MH825699,,Streptomyces platensis MJ1A1,MK433266.1,85,"Streptomyces phage Shawty, complete genome"
760,DarthP,MF140406,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
761,DarthPhader,KX657793,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
762,Darwin,MG198777,,Corynebacterium vitaeruminis NCIB 9291,NZ_CP004353.1,10,"Corynebacterium vitaeruminis DSM 20294 chromosome, complete genome"
763,DatBoi,MN908691,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
764,Dattran,MF541406,,Streptomyces venezuelae ATCC 10712,MK305888.1,96,"Streptomyces phage Austintatious, complete genome"
765,Datway,MK359322,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
766,Daubenski,MN444876,,Streptomyces griseus ATCC 10137,MN586056.1,80,"Streptomyces phage FidgetOrca, complete genome"
767,Daudau,MF766045,,Streptomyces xanthochromogenes NRRL B-5410,NZ_BMUZ00000000.1,100,"Streptomyces xanthochromogenes strain JCM 4612, whole genome shotgun sequencing project"
768,Dave,MH045558,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
769,DaVinci,JF937092,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
770,DaWorst,MF919501,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
771,DBQu4n,MK494087,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
772,DD5,EU744252,NC_011022,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
773,DeadP,JN698996,NC_023728,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
774,Deano,MT553338,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
775,Deby,MG962364,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
776,Decurro,KT355471,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
777,DeepSoil15,MK919482,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
778,DekHockey33,,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
779,DelaGarza,MT889371,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
780,Delian,MN369740,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
781,Delilah,MK359334,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
782,Delrey21,,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
783,DelRio,MH509446,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
784,Delton,MK559427,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
785,Demosthenes,KU998242,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
786,Demsculpinboyz,MF919502,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
787,Den3,MN062702,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
788,Denise,MN428053,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
789,Derek,MH316561,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
790,Derpp,KX576645,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
791,DesireeRose,,,Microbacterium testaceum NRRL B-24232,Not Found,36,Not Found
792,Devera,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
793,DevitoJr,,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
794,Dewayne,MH576952,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
795,Dewdrop,MN703414,,Microbacterium paraoxydans NWU1,MN813684.1,33,"Microbacterium phage Terij, complete genome"
796,Dexdert,,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
797,Dhanush,KC661271,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
798,Diabla,MT889379,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
799,Diane,MF766046,,Streptomyces xanthochromogenes NRRL B-5410,NZ_BMUZ00000000.1,100,"Streptomyces xanthochromogenes strain JCM 4612, whole genome shotgun sequencing project"
800,DickRichards,MT889389,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
801,Didgeridoo,MH045566,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
802,Dieselweasel,MN585969,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
803,Dietrick,MK310143,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
804,Dignity,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
805,DillTech15,MH077578,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
806,Dina,MK977706,,Corynebacterium xerosis ATCC 373,NZ_PNHF00000000.1,11,"Corynebacterium xerosis strain UMB0908, whole genome shotgun sequencing project"
807,Dinger,MN945902,,Rhodococcus erythropolis RIA 643,MN945902.1,69,"Rhodococcus phage Dinger, complete genome"
808,Dingo,MF919503,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
809,Dino,MF140407,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
810,DinoDaryn,KY471269,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
811,Dione,MK112539,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
812,DirkDirk,MN617841,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
813,DirtJuice,MT897903,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
814,DirtMcgirt,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
815,DirtyBoi,MT771341,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
816,DirtyBubble,MN062714,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
817,DirtyDunning,MK494094,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
818,DismalFunk,MF140408,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
819,DismalStressor,MH727545,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
820,Dismas,MG670586,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
821,Dixon,MH651173,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
822,DizzyRudy,MK814756,,Microbacterium paraoxydans NRRL B-14843,MH368497.1,32,"Microbacterium paraoxydans strain NRRL B-14843 16S ribosomal RNA gene, partial sequence"
823,Djokovic,MH025890,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
824,DLane,JF937093,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
825,Dmitri,MK937599,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
826,DMoney,MH371116,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
827,DmpstrDiver,MF919504,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
828,DobbysSock,MN428048,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
829,DocB7,GU580940,NC_023706,Rhodococcus equi HDP1C,MT535662.1,64,"Rhodococcus hoagii strain AP2_45 16S ribosomal RNA gene, partial sequence"
830,DoctorDiddles,MH399774,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
831,Doddsville,MH371107,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
832,DoesntMatter,MG962365,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
833,Dogfish,MK524505,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
834,Doggs,MT498059,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
835,Dole,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
836,Dongwon,MH744416,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
837,Donkeykong,MN586001,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
838,Donny,MK524490,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
839,Donovan,KF841477,NC_023552,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
840,DonSanchon,MH576970,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
841,Doom,JN153085,NC_023704,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
842,Doomphist,MN428047,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
843,Dori,JN698995,NC_023703,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
844,Dorito,MK279848,,Gordonia rubripertincta NRRL B-16540,MN586057.1,18,"Gordonia phage Cleo, complete genome"
845,Dorothy,JX411620,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
846,Dothraki,MT451985,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
847,DotProduct,JN859129,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
848,Doucette,KX620751,,Propionibacterium freudenreichii TL 110,AL645882.2,59,Streptomyces coelicolor A3(2) complete genome
849,Doug,MN310544,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
850,Drago,JN542517,NC_023721,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
851,Drake55,MF668269,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
852,Drake94,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
853,Drazdys,JF704116,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
854,DRBy19,MT310893,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
855,DrDrey,KF306380,NC_022059,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
856,Dre3,,,Gordonia rubripertincta NRRL B-16540,MN586057.1,18,"Gordonia phage Cleo, complete genome"
857,Dreamboat,JN660814,NC_023708,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
858,DreamCatcher,MN444869,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
859,DreamTeam,MK919484,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
860,DreamTeam1,MN585974,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
861,DrFeelGood,MH536816,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
862,DrGrey,MF467948,,Streptomyces griseus ATCC 10137,MN586056.1,80,"Streptomyces phage FidgetOrca, complete genome"
863,DrHayes,KX657795,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
864,DrLupo,MK279909,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
865,DrManhattan,MH834610,,Arthrobacter atrocyaneus NRRL B-2883,MN813676.1,1,"Arthrobacter phage Adolin, complete genome"
866,DroogsArmy,MT553337,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
867,DrParker,MF919505,,Propionibacterium acnes ATCC 6919,MT947204.1,55,"Cutibacterium acnes strain HKG366 16S ribosomal RNA gene, partial sequence"
868,DrPhinkDaddy,MK450434,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
869,DrRobert,KU160643,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
870,DrSierra,MN908689,,Arthrobacter atrocyaneus NRRL B-2883,MN813676.1,1,"Arthrobacter phage Adolin, complete genome"
871,Druantia,MH536817,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
872,Dryad,MT498037,,Streptomyces viridochromogenes DSM40736,MG515223.1,99,"Streptomyces phage WRightOn, complete genome"
873,DrYang,MN703411,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
874,DS6A,JN698994,NC_023744,Mycobacterium tuberculosis H37Rv,6LTY_D,50,"Chain D, DNA bound antitoxin HigA3"
875,DTDevon,KT365398,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
876,Dublin,MH338235,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
877,Dubu,MK937595,,Streptomyces platensis MJ1A1,MK433266.1,85,"Streptomyces phage Shawty, complete genome"
878,DuchessDung,MH051251,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
879,DudeLittle,KX576639,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
880,Duffington,MK376957,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
881,Duggie,MN585965,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
882,Duke13,MK279849,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
883,Dulcie,MK494116,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
884,Dumbo,KC691255,NC_021306,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
885,DumpsterDude,MT024859,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
886,Durfee,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
887,Durga,MK279850,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
888,Dusk,KT222942,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
889,Dwayne,,,Streptomyces lividans JI 1326,MH744418.1,83,"Streptomyces phage JustBecause, complete genome"
890,Dylan,KF024730,NC_022325,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
891,Dynamix,KT626047,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
892,DyoEdafos,MN234187,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
893,E1,KX620752,,Propionibacterium freudenreichii TL 110,AL645882.2,59,Streptomyces coelicolor A3(2) complete genome
894,E3,HM114277,NC_021347,Rhodococcus equi NCIMB 10027,Not Found,66,Not Found
895,E6,KX620753,,Propionibacterium freudenreichii LS2500,KX620754.1,58,"Propionibacterium phage G4, complete genome"
896,Eagle,HM152766,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
897,EagleEye,KF861510,NC_023564,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
898,Eaglehorse,MH727546,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
899,Eaglepride,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
900,Eapen,MH479911,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
901,Easley,MH155867,,Gordonia terrae CAG3,MN586040.1,23,"Gordonia phage Stormageddon, complete genome"
902,Easy2Say,MH651174,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
903,EasyJones,,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
904,Ebert,MH271295,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
905,Ebony,MH338236,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
906,Echild,KF981601,NC_023553,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
907,Eddasa,MH171096,,Streptomyces griseus ATCC 10137,MN586056.1,80,"Streptomyces phage FidgetOrca, complete genome"
908,Eden,MH509447,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
909,EdgarPoe,KX855961,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
910,Edmundo,MN585972,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
911,Edtherson,KP027196,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
912,Edugator,MF185719,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
913,Efeko,MH825700,,Microbacterium paraoxydans NRRL B-14843,MH368497.1,32,"Microbacterium paraoxydans strain NRRL B-14843 16S ribosomal RNA gene, partial sequence"
914,Efra2,MN234174,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
915,Egad,MN234186,,Arthrobacter globiformis B-2979,AF329477.3,2,"Arthrobacter globiformis strain NRRL B-2979 N,N-dimethylglycine oxidase operon, complete sequence; and hypothetical protein, putative formate dehydrogenase (fdh), putative molibdopterin biosynthesis protein (moeA), putative IclR-family transcriptional regulator (dioR), putative oxygenase (dio), putative ferredoxin reductase (fdr), putative ferredoxin (fdx), putative 10-formyltetrahydrofolate deformylase (purU2), dimethylglycine oxidase (dmg2), hypothetical protein, putative ABC transporter, putative methionine synthase (metH), and putative luciferase-like monooxygenase protein genes, complete cds"
916,EGole,MK494112,,Streptomyces griseus ATCC 10137,MN586056.1,80,"Streptomyces phage FidgetOrca, complete genome"
917,EhyElimayoE,,,Streptomyces lividans JI 1326,MH744418.1,83,"Streptomyces phage JustBecause, complete genome"
918,Eidsmoe,KU716094,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
919,Eileen,MH834611,,Arthrobacter globiformis B-2979,AF329477.3,2,"Arthrobacter globiformis strain NRRL B-2979 N,N-dimethylglycine oxidase operon, complete sequence; and hypothetical protein, putative formate dehydrogenase (fdh), putative molibdopterin biosynthesis protein (moeA), putative IclR-family transcriptional regulator (dioR), putative oxygenase (dio), putative ferredoxin reductase (fdr), putative ferredoxin (fdx), putative 10-formyltetrahydrofolate deformylase (purU2), dimethylglycine oxidase (dmg2), hypothetical protein, putative ABC transporter, putative methionine synthase (metH), and putative luciferase-like monooxygenase protein genes, complete cds"
920,Ein37,MT114159,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
921,Eish,MN585975,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
922,Ejimix,MH697582,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
923,Ekdilam,MN234199,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
924,Ekhein,,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
925,Eklok,MT521991,,Streptomyces sanglieri UNT16F27A,MT024872.1,87,"Streptomyces phage Muntaha, complete genome"
926,ELB20,JX262376,,Streptomyces lividans JI 1326,MH744418.1,83,"Streptomyces phage JustBecause, complete genome"
927,EleanorGeorge,MH669001,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
928,ElephantMan,MF038791,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
929,Elephantoon,MK559428,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
930,Eleri,MG839027,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
931,Elesar,MK392368,,Arthrobacter globiformis B-2979,AF329477.3,2,"Arthrobacter globiformis strain NRRL B-2979 N,N-dimethylglycine oxidase operon, complete sequence; and hypothetical protein, putative formate dehydrogenase (fdh), putative molibdopterin biosynthesis protein (moeA), putative IclR-family transcriptional regulator (dioR), putative oxygenase (dio), putative ferredoxin reductase (fdr), putative ferredoxin (fdx), putative 10-formyltetrahydrofolate deformylase (purU2), dimethylglycine oxidase (dmg2), hypothetical protein, putative ABC transporter, putative methionine synthase (metH), and putative luciferase-like monooxygenase protein genes, complete cds"
932,Elezi,MT639653,,Arthrobacter globiformis B-2979,AF329477.3,2,"Arthrobacter globiformis strain NRRL B-2979 N,N-dimethylglycine oxidase operon, complete sequence; and hypothetical protein, putative formate dehydrogenase (fdh), putative molibdopterin biosynthesis protein (moeA), putative IclR-family transcriptional regulator (dioR), putative oxygenase (dio), putative ferredoxin reductase (fdr), putative ferredoxin (fdx), putative 10-formyltetrahydrofolate deformylase (purU2), dimethylglycine oxidase (dmg2), hypothetical protein, putative ABC transporter, putative methionine synthase (metH), and putative luciferase-like monooxygenase protein genes, complete cds"
933,Elite2014,MN586041,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
934,Elkhorn,MF140409,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
935,Ellie,MT723940,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
936,Elph10,JN391441,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
937,Elsa,MF189172,,Arthrobacter sp.  ATCC 21022,NC_031224.2,4,"Arthrobacter phage Mudcat, complete genome"
938,ElTiger69,JX042578,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
939,Elva,MH045567,,Microbacterium foliorum NRRL B-24224,MN294681.1,28,"Microbacterium foliorum strain 74 WR3 16S ribosomal RNA gene, partial sequence"
940,Emalyn,KU963260,,Gordonia terrae 3612,MT818424.1,21,"Gordonia phage GemG, complete genome"
941,Emerson,KJ567045,,Mycobacterium smegmatis mc²155,MT818425.1,49,"Mycobacterium phage NiebruSaylor, complete genome"
